source,target,relation,similarity
item11,item20,similar,0.0
item12,user3,wants,
item12,item1,similar,0.86
item12,item2,similar,0.0
item12,item3,similar,0.11
item12,item4,similar,0.0
item12,item5,similar,0.45
item12,item6,similar,0.04
item12,item7,similar,0.0
item12,item8,similar,0.0
item12,item9,similar,0.6
item12,item10,similar,0.29
item12,item11,similar,0.0
item12,item13,similar,0.0
item12,item14,similar,0.26
item12,item15,similar,0.61
item12,item16,similar,0.2
item12,item17,similar,0.82
item12,item18,similar,0.52
item12,item19,similar,0.48
item12,item20,similar,0.12
item13,user7,wants,
item13,user6,wants,
item13,item1,similar,0.0
item13,item2,similar,0.0
item13,item3,similar,0.0
item13,item4,similar,0.56
item13,item5,similar,0.0
item13,item6,similar,0.0
item13,item7,similar,0.0
item13,item8,similar,0.0
item13,item9,similar,0.0
item13,item10,similar,0.88
item13,item11,similar,0.75
item13,item12,similar,0.0
item13,item14,similar,0.0
item13,item15,similar,0.0
item13,item16,similar,0.0
item13,item17,similar,0.0
item13,item18,similar,0.47
item13,item19,similar,0.44
item13,item20,similar,0.12
item14,item1,similar,0.23
item14,item2,similar,0.0
item14,item3,similar,0.63
item14,item4,similar,0.85
item14,item5,similar,0.0
item14,item6,similar,0.0
item14,item7,similar,0.58
item14,item8,similar,0.83
item14,item9,similar,0.58
item14,item10,similar,0.78
item14,item11,similar,0.0
item14,item12,similar,0.0
item14,item13,similar,0.0
item14,item15,similar,0.0
item14,item16,similar,0.38
item14,item17,similar,0.18
item14,item18,similar,0.31
item14,item19,similar,0.0
item14,item20,similar,0.0
item15,user10,wants,
item15,user9,wants,
item15,user6,wants,
item15,item1,similar,0.05
item15,item2,similar,0.17
item15,item3,similar,0.5
item15,item4,similar,0.69
item15,item5,similar,0.48
item15,item6,similar,0.0
item15,item7,similar,0.93
item15,item8,similar,0.0
item15,item9,similar,0.0
item15,item10,similar,0.15
item15,item11,similar,0.08
item15,item12,similar,0.44
item15,item13,similar,0.0
item15,item14,similar,0.0
item15,item16,similar,0.11
item15,item17,similar,0.0
item15,item18,similar,0.89
item15,item19,similar,0.0
item15,item20,similar,0.0
item16,item1,similar,0.0
item16,item2,similar,0.12
item16,item3,similar,0.42
item16,item4,similar,0.0
item16,item5,similar,0.0
item16,item6,similar,0.0
item16,item7,similar,0.9
item16,item8,similar,0.01
item16,item9,similar,0.85
item16,item10,similar,0.0
item16,item11,similar,0.17
item16,item12,similar,0.0
item16,item13,similar,0.0
item16,item14,similar,0.37
item16,item15,similar,0.0
item16,item17,similar,0.0
item16,item18,similar,0.48
item16,item19,similar,0.0
item16,item20,similar,0.53
item17,user10,wants,
item17,user3,wants,
item17,item1,similar,0.0
item17,item2,similar,0.0
item17,item3,similar,0.0
item17,item4,similar,0.2
item17,item5,similar,0.16
item17,item6,similar,0.0
item17,item7,similar,0.0
item17,item8,similar,0.73
item17,item9,similar,0.0
item17,item10,similar,0.0
item17,item11,similar,0.0
item17,item12,similar,0.0
item17,item13,similar,0.0
item17,item14,similar,0.0
item17,item15,similar,0.0
item17,item16,similar,0.7
item17,item18,similar,0.94
item17,item19,similar,0.0
item17,item20,similar,0.0
item18,user3,wants,
item18,user5,wants,
item18,item1,similar,0.68
item18,item2,similar,0.0
item18,item3,similar,0.0
item18,item4,similar,0.65
item18,item5,similar,0.65
item18,item6,similar,0.46
item18,item7,similar,0.0
item18,item8,similar,0.0
item18,item9,similar,0.98
item18,item10,similar,0.0
item18,item11,similar,0.0
item18,item12,similar,0.81
item18,item13,similar,0.0
item18,item14,similar,0.0
item18,item15,similar,0.81
item18,item16,similar,0.0
item18,item17,similar,0.0
item18,item19,similar,0.9
item18,item20,similar,0.35
item19,user2,wants
item19,item1,similar,0.59
item19,item2,similar,0.98
item19,item3,similar,0.87
item19,item4,similar,0.94
item19,item5,similar,0.1
item19,item6,similar,0.88
item19,item7,similar,0.0
item19,item8,similar,0.0
item19,item9,similar,0.0
item19,item10,similar,0.0
item19,item11,similar,0.0
item19,item12,similar,0.0
item19,item13,similar,0.08
item19,item14,similar,0.0
item19,item15,similar,0.38
item19,item16,similar,0.35
item19,item17,similar,0.62
item19,item18,similar,0.0
item19,item20,similar,0.9
item20,item1,similar,0.0
item20,item2,similar,0.3
item20,item3,similar,0.79
item20,item4,similar,0.25
item20,item5,similar,0.06
item20,item6,similar,0.68
item20,item7,similar,0.0
item20,item8,similar,0.55
item20,item9,similar,0.29
item20,item10,similar,0.0
item20,item11,similar,0.0
item20,item12,similar,0.0
item20,item13,similar,0.31
item20,item14,similar,0.96
item20,item15,similar,0.3
item20,item16,similar,0.79
item20,item17,similar,0.0
item20,item18,similar,0.69
item20,item19,similar,0.9
